model,seed_size,random_seed,upos_acc,per_tag_f1_json
gerulata/slovakbert,200,0,0.9425,"{""ADJ"": 0.95, ""ADP"": 0.9588, ""ADV"": 0.8061, ""AUX"": 0.9509, ""CCONJ"": 0.9369, ""DET"": 0.9351, ""INTJ"": 0.0, ""NOUN"": 0.9608, ""NUM"": 0.9474, ""PART"": 0.6581, ""PRON"": 0.8725, ""PROPN"": 0.8522, ""PUNCT"": 0.9993, ""SCONJ"": 0.9496, ""SYM"": 0.9355, ""VERB"": 0.9735, ""X"": 0.7918}"
gerulata/slovakbert,200,1,0.9418,"{""ADJ"": 0.9441, ""ADP"": 0.9513, ""ADV"": 0.8067, ""AUX"": 0.9796, ""CCONJ"": 0.9096, ""DET"": 0.933, ""INTJ"": 0.2, ""NOUN"": 0.9596, ""NUM"": 0.9508, ""PART"": 0.6288, ""PRON"": 0.8986, ""PROPN"": 0.869, ""PUNCT"": 0.9994, ""SCONJ"": 0.9597, ""SYM"": 0.9286, ""VERB"": 0.9706, ""X"": 0.8107}"
gerulata/slovakbert,200,2,0.9503,"{""ADJ"": 0.9585, ""ADP"": 0.9552, ""ADV"": 0.8295, ""AUX"": 0.988, ""CCONJ"": 0.9313, ""DET"": 0.948, ""INTJ"": 0.2, ""NOUN"": 0.9647, ""NUM"": 0.9683, ""PART"": 0.6744, ""PRON"": 0.9057, ""PROPN"": 0.8764, ""PUNCT"": 0.9995, ""SCONJ"": 0.949, ""SYM"": 0.9524, ""VERB"": 0.9747, ""X"": 0.8265}"
xlm-roberta-base,200,0,0.9672,"{""ADJ"": 0.9759, ""ADP"": 0.9945, ""ADV"": 0.8664, ""AUX"": 0.9944, ""CCONJ"": 0.9477, ""DET"": 0.9466, ""INTJ"": 0.0, ""NOUN"": 0.9803, ""NUM"": 0.9723, ""PART"": 0.7003, ""PRON"": 0.9542, ""PROPN"": 0.8948, ""PUNCT"": 0.9987, ""SCONJ"": 0.9747, ""SYM"": 0.9435, ""VERB"": 0.993, ""X"": 0.8592}"
xlm-roberta-base,200,1,0.9686,"{""ADJ"": 0.9742, ""ADP"": 0.9939, ""ADV"": 0.8835, ""AUX"": 0.9974, ""CCONJ"": 0.9236, ""DET"": 0.9528, ""INTJ"": 0.2, ""NOUN"": 0.9804, ""NUM"": 0.972, ""PART"": 0.7258, ""PRON"": 0.9786, ""PROPN"": 0.895, ""PUNCT"": 0.9996, ""SCONJ"": 0.9642, ""SYM"": 0.952, ""VERB"": 0.9946, ""X"": 0.8766}"
xlm-roberta-base,200,2,0.9662,"{""ADJ"": 0.9739, ""ADP"": 0.993, ""ADV"": 0.8637, ""AUX"": 0.9962, ""CCONJ"": 0.9402, ""DET"": 0.9465, ""INTJ"": 0.2, ""NOUN"": 0.978, ""NUM"": 0.9811, ""PART"": 0.7124, ""PRON"": 0.9629, ""PROPN"": 0.8869, ""PUNCT"": 0.9993, ""SCONJ"": 0.9717, ""SYM"": 0.965, ""VERB"": 0.9938, ""X"": 0.8371}"
gerulata/slovakbert,400,0,0.9577,"{""ADJ"": 0.9625, ""ADP"": 0.9707, ""ADV"": 0.8601, ""AUX"": 0.9892, ""CCONJ"": 0.9381, ""DET"": 0.9581, ""INTJ"": 0.0, ""NOUN"": 0.9698, ""NUM"": 0.9736, ""PART"": 0.7106, ""PRON"": 0.9351, ""PROPN"": 0.8752, ""PUNCT"": 0.9993, ""SCONJ"": 0.9677, ""SYM"": 0.9524, ""VERB"": 0.98, ""X"": 0.8202}"
gerulata/slovakbert,400,1,0.9578,"{""ADJ"": 0.9608, ""ADP"": 0.9683, ""ADV"": 0.8606, ""AUX"": 0.9886, ""CCONJ"": 0.9375, ""DET"": 0.9613, ""INTJ"": 0.0, ""NOUN"": 0.9688, ""NUM"": 0.9741, ""PART"": 0.718, ""PRON"": 0.9416, ""PROPN"": 0.8822, ""PUNCT"": 0.9993, ""SCONJ"": 0.9715, ""SYM"": 0.9323, ""VERB"": 0.9784, ""X"": 0.8399}"
gerulata/slovakbert,400,2,0.9599,"{""ADJ"": 0.9679, ""ADP"": 0.9668, ""ADV"": 0.8692, ""AUX"": 0.9929, ""CCONJ"": 0.9438, ""DET"": 0.9609, ""INTJ"": 0.0, ""NOUN"": 0.9704, ""NUM"": 0.9691, ""PART"": 0.7473, ""PRON"": 0.9312, ""PROPN"": 0.8858, ""PUNCT"": 0.9997, ""SCONJ"": 0.9768, ""SYM"": 0.9725, ""VERB"": 0.9787, ""X"": 0.8383}"
xlm-roberta-base,400,0,0.9749,"{""ADJ"": 0.9812, ""ADP"": 0.9957, ""ADV"": 0.9011, ""AUX"": 0.9969, ""CCONJ"": 0.9596, ""DET"": 0.967, ""INTJ"": 0.0, ""NOUN"": 0.985, ""NUM"": 0.981, ""PART"": 0.7616, ""PRON"": 0.9688, ""PROPN"": 0.9074, ""PUNCT"": 0.9989, ""SCONJ"": 0.9817, ""SYM"": 0.9524, ""VERB"": 0.9966, ""X"": 0.8754}"
xlm-roberta-base,400,1,0.9768,"{""ADJ"": 0.9811, ""ADP"": 0.9956, ""ADV"": 0.9066, ""AUX"": 0.998, ""CCONJ"": 0.9487, ""DET"": 0.9742, ""INTJ"": 0.2, ""NOUN"": 0.9842, ""NUM"": 0.9867, ""PART"": 0.7894, ""PRON"": 0.9843, ""PROPN"": 0.9205, ""PUNCT"": 0.9996, ""SCONJ"": 0.9788, ""SYM"": 0.9478, ""VERB"": 0.9958, ""X"": 0.9073}"
xlm-roberta-base,400,2,0.974,"{""ADJ"": 0.9798, ""ADP"": 0.9947, ""ADV"": 0.8985, ""AUX"": 0.9967, ""CCONJ"": 0.9442, ""DET"": 0.9714, ""INTJ"": 0.0, ""NOUN"": 0.983, ""NUM"": 0.9851, ""PART"": 0.7823, ""PRON"": 0.9749, ""PROPN"": 0.904, ""PUNCT"": 0.9989, ""SCONJ"": 0.9804, ""SYM"": 0.9644, ""VERB"": 0.9942, ""X"": 0.8747}"
gerulata/slovakbert,800,0,0.9657,"{""ADJ"": 0.971, ""ADP"": 0.9755, ""ADV"": 0.8841, ""AUX"": 0.9895, ""CCONJ"": 0.9482, ""DET"": 0.9725, ""INTJ"": 0.0, ""NOUN"": 0.9757, ""NUM"": 0.9813, ""PART"": 0.7385, ""PRON"": 0.9646, ""PROPN"": 0.8967, ""PUNCT"": 0.9995, ""SCONJ"": 0.9658, ""SYM"": 0.9562, ""VERB"": 0.9835, ""X"": 0.8485}"
gerulata/slovakbert,800,1,0.9625,"{""ADJ"": 0.9675, ""ADP"": 0.9725, ""ADV"": 0.8697, ""AUX"": 0.9888, ""CCONJ"": 0.9489, ""DET"": 0.9636, ""INTJ"": 0.0, ""NOUN"": 0.9739, ""NUM"": 0.9737, ""PART"": 0.7219, ""PRON"": 0.9519, ""PROPN"": 0.8906, ""PUNCT"": 0.9995, ""SCONJ"": 0.978, ""SYM"": 0.936, ""VERB"": 0.9832, ""X"": 0.8456}"
gerulata/slovakbert,800,2,0.9662,"{""ADJ"": 0.972, ""ADP"": 0.9751, ""ADV"": 0.8808, ""AUX"": 0.9939, ""CCONJ"": 0.9475, ""DET"": 0.9731, ""INTJ"": 0.0, ""NOUN"": 0.9766, ""NUM"": 0.9789, ""PART"": 0.7518, ""PRON"": 0.9556, ""PROPN"": 0.9001, ""PUNCT"": 0.9995, ""SCONJ"": 0.9784, ""SYM"": 0.952, ""VERB"": 0.9831, ""X"": 0.8534}"
xlm-roberta-base,800,0,0.9804,"{""ADJ"": 0.9874, ""ADP"": 0.9967, ""ADV"": 0.9174, ""AUX"": 0.9987, ""CCONJ"": 0.9584, ""DET"": 0.985, ""INTJ"": 0.0, ""NOUN"": 0.9878, ""NUM"": 0.9949, ""PART"": 0.7998, ""PRON"": 0.9839, ""PROPN"": 0.9268, ""PUNCT"": 0.9992, ""SCONJ"": 0.978, ""SYM"": 0.9562, ""VERB"": 0.9967, ""X"": 0.8975}"
xlm-roberta-base,800,1,0.9807,"{""ADJ"": 0.9871, ""ADP"": 0.9969, ""ADV"": 0.9144, ""AUX"": 0.9987, ""CCONJ"": 0.9533, ""DET"": 0.9803, ""INTJ"": 0.0, ""NOUN"": 0.9876, ""NUM"": 0.9907, ""PART"": 0.8029, ""PRON"": 0.986, ""PROPN"": 0.9362, ""PUNCT"": 0.9996, ""SCONJ"": 0.9842, ""SYM"": 0.952, ""VERB"": 0.9967, ""X"": 0.9243}"
xlm-roberta-base,800,2,0.9793,"{""ADJ"": 0.9846, ""ADP"": 0.9949, ""ADV"": 0.9159, ""AUX"": 0.998, ""CCONJ"": 0.9603, ""DET"": 0.9812, ""INTJ"": 0.0, ""NOUN"": 0.9865, ""NUM"": 0.9931, ""PART"": 0.8175, ""PRON"": 0.9853, ""PROPN"": 0.9204, ""PUNCT"": 0.9995, ""SCONJ"": 0.9822, ""SYM"": 0.9562, ""VERB"": 0.9958, ""X"": 0.8917}"
